City,Color,Count
Marseille,Bleu,99
Avignon,Vert,52
Montpellier,Jaune,47
Marseille,Orange,22
Lyon,Marron,95
Montpellier,Bleu,61
Lyon,Rouge,96
Montpellier,Marron,91
Lyon,Bleu,97
Marseille,Jaune,35
Bordeaux,Marron,71
Nice,Jaune,90
Lille,Marron,98
Lyon,Bleu,43
Avignon,Orange,43
Bordeaux,Bleu,56
Marseille,Rouge,82
Marseille,Jaune,61
Paris,Jaune,25
Paris,Vert,35
Toulouse,Rouge,56
Lyon,Rouge,80
Avignon,Orange,38
Avignon,Vert,15
Nice,Rouge,47
Paris,Rouge,16
Montpellier,Orange,19
Montpellier,Rouge,84
Marseille,Rouge,88
Avignon,Orange,67
Marseille,Orange,62
Paris,Orange,32
Nice,Rouge,73
Lyon,Orange,50
Avignon,Bleu,84
Bordeaux,Jaune,47
Lille,Orange,78
Lille,Bleu,57
Marseille,Rouge,78
Nice,Marron,37
Paris,Jaune,96
Paris,Rouge,48
Montpellier,Marron,19
Paris,Jaune,82
Nice,Vert,82
Avignon,Jaune,15
Strasbourg,Jaune,57
Lille,Vert,86
Strasbourg,Bleu,56
Lyon,Marron,23
Montpellier,Bleu,57
Toulouse,Rouge,71
Nice,Bleu,97
Marseille,Orange,81
Strasbourg,Jaune,54
Marseille,Jaune,75
Avignon,Rouge,68
Nice,Marron,37
Lille,Marron,82
Marseille,Bleu,38
Nice,Bleu,84
Paris,Vert,99
Marseille,Bleu,29
Toulouse,Vert,76
Montpellier,Bleu,43
Strasbourg,Jaune,61
Avignon,Orange,10
Marseille,Orange,70
Marseille,Rouge,98
Paris,Marron,69
Marseille,Jaune,90
Nice,Jaune,98
Avignon,Rouge,11
Avignon,Orange,74
Lyon,Bleu,88
Nice,Jaune,51
Avignon,Jaune,14
Strasbourg,Jaune,13
Toulouse,Orange,59
Lyon,Marron,34
Lyon,Rouge,65
Avignon,Rouge,60
Lyon,Orange,95
Avignon,Vert,96
Paris,Orange,51
Marseille,Vert,78
Montpellier,Rouge,68
Lyon,Rouge,19
Lyon,Vert,22
Lille,Orange,31
Avignon,Marron,94
Marseille,Vert,22
Marseille,Vert,98
Bordeaux,Orange,27
Avignon,Orange,46
Lyon,Marron,83
Lyon,Orange,33
Lyon,Marron,22
Paris,Vert,99
Bordeaux,Jaune,96
Avignon,Jaune,11
Toulouse,Vert,92
Nice,Vert,34
Marseille,Rouge,94
Lille,Rouge,86
Strasbourg,Rouge,38
Nice,Rouge,99
Toulouse,Bleu,15
Montpellier,Rouge,60
Nice,Orange,27
Avignon,Rouge,12
Marseille,Orange,77
Bordeaux,Vert,50
Nice,Vert,87
Lille,Jaune,93
Nice,Marron,47
Lyon,Marron,94
Montpellier,Vert,78
Paris,Jaune,14
Lyon,Vert,52
Strasbourg,Bleu,80
Bordeaux,Jaune,90
Toulouse,Rouge,51
Nice,Bleu,32
Lyon,Rouge,38
Toulouse,Orange,64
Avignon,Vert,93
Lille,Orange,39
Nice,Orange,54
Bordeaux,Marron,56
Lille,Vert,77
Bordeaux,Jaune,44
Toulouse,Bleu,97
Paris,Rouge,92
Marseille,Orange,86
Montpellier,Jaune,25
Toulouse,Orange,40
Montpellier,Bleu,19
Marseille,Bleu,95
Lyon,Rouge,35
Montpellier,Orange,83
Strasbourg,Marron,39
Nice,Orange,69
Strasbourg,Rouge,17
Lille,Jaune,25
Montpellier,Marron,45
Toulouse,Rouge,77
Lyon,Rouge,97
Strasbourg,Orange,47
Paris,Jaune,15
Paris,Bleu,68
Strasbourg,Marron,16
Paris,Marron,71
Montpellier,Jaune,69
Lille,Orange,82
Bordeaux,Orange,38
Toulouse,Vert,48
Montpellier,Orange,41
Marseille,Bleu,10
Nice,Jaune,86
Avignon,Rouge,28
Strasbourg,Marron,59
Toulouse,Orange,52
Lille,Rouge,15
Marseille,Bleu,41
Nice,Rouge,37
Strasbourg,Marron,12
Toulouse,Orange,13
Nice,Bleu,28
Strasbourg,Bleu,11
Bordeaux,Orange,67
Paris,Vert,18
Marseille,Orange,51
Lille,Marron,11
Marseille,Orange,52
Avignon,Jaune,33
Avignon,Rouge,53
Lille,Rouge,68
Toulouse,Jaune,100
Toulouse,Bleu,32
Nice,Vert,64
Nice,Orange,42
Toulouse,Vert,50
Toulouse,Vert,15
Toulouse,Orange,75
Marseille,Marron,34
Bordeaux,Bleu,12
Bordeaux,Rouge,65
Strasbourg,Rouge,58
Avignon,Rouge,41
Toulouse,Rouge,74
Montpellier,Jaune,40
Toulouse,Rouge,90
Montpellier,Orange,94
Bordeaux,Orange,96
Lille,Bleu,52
Strasbourg,Orange,30
Nice,Bleu,33
Strasbourg,Rouge,53
Lille,Marron,27
Bordeaux,Bleu,11
Paris,Jaune,15
Strasbourg,Rouge,75
Avignon,Marron,67
Lyon,Bleu,94
Nice,Orange,94
Toulouse,Marron,67
Nice,Orange,86
Toulouse,Jaune,55
Paris,Vert,76
Lyon,Rouge,25
Strasbourg,Jaune,53
Lille,Bleu,80
Marseille,Jaune,21
Lille,Rouge,81
Lille,Rouge,83
Montpellier,Jaune,70
Nice,Jaune,40
Avignon,Orange,56
Strasbourg,Rouge,64
Toulouse,Orange,64
Paris,Vert,22
Avignon,Jaune,19
Lyon,Vert,60
Bordeaux,Vert,54
Paris,Vert,85
Marseille,Orange,27
Marseille,Marron,28
Strasbourg,Rouge,75
Paris,Marron,10
Toulouse,Marron,35
Montpellier,Marron,53
Montpellier,Bleu,34
Toulouse,Marron,41
Montpellier,Vert,41
Lille,Vert,43
Lille,Rouge,94
Strasbourg,Marron,87
Bordeaux,Bleu,72
Toulouse,Rouge,31
Paris,Orange,68
Paris,Orange,64
Strasbourg,Marron,43
Toulouse,Rouge,12
Lille,Bleu,11
Marseille,Bleu,67
Toulouse,Jaune,42
Avignon,Jaune,100
Bordeaux,Orange,57
Bordeaux,Orange,32
Nice,Marron,54
Nice,Rouge,59
Bordeaux,Rouge,11
Toulouse,Bleu,69
Nice,Jaune,64
Montpellier,Rouge,93
Nice,Rouge,86
Montpellier,Orange,21
Avignon,Jaune,12
Lille,Orange,84
Lyon,Rouge,28
Paris,Jaune,82
Marseille,Vert,85
Lyon,Jaune,75
Toulouse,Orange,78
Toulouse,Jaune,59
Bordeaux,Rouge,82
Avignon,Bleu,42
Strasbourg,Marron,74
Lille,Orange,62
Montpellier,Vert,15
Toulouse,Jaune,100
Lille,Rouge,69
Toulouse,Orange,55
Avignon,Orange,70
Lille,Bleu,85
Marseille,Orange,56
Lyon,Jaune,22
Bordeaux,Vert,48
Avignon,Bleu,10
Bordeaux,Bleu,48
Toulouse,Vert,70
Strasbourg,Orange,43
Nice,Marron,76
Toulouse,Bleu,51
Paris,Bleu,44
Lille,Bleu,37
Lyon,Orange,61
Lyon,Marron,73
Nice,Vert,51
Toulouse,Vert,59
Toulouse,Orange,52
Marseille,Orange,61
Paris,Bleu,34
Lyon,Marron,71
Lille,Jaune,99
Lyon,Vert,43
Montpellier,Marron,48
Bordeaux,Vert,63
Marseille,Orange,75
Nice,Vert,92
Bordeaux,Jaune,50
Bordeaux,Jaune,35
Lille,Vert,92
Lyon,Bleu,100
Lille,Vert,64
Lyon,Jaune,77
Toulouse,Marron,56
Strasbourg,Vert,26
Montpellier,Vert,58
Toulouse,Rouge,71
Nice,Marron,35
Toulouse,Vert,12
Nice,Vert,14
Paris,Marron,37
Marseille,Rouge,63
Strasbourg,Orange,42
Nice,Bleu,57
Lyon,Vert,66
Bordeaux,Orange,13
Avignon,Marron,80
Lyon,Marron,43
Lyon,Bleu,21
Strasbourg,Jaune,14
Bordeaux,Rouge,83
Strasbourg,Vert,53
Lille,Jaune,81
Toulouse,Bleu,70
Marseille,Orange,64
Paris,Vert,14
Strasbourg,Vert,16
Avignon,Marron,18
Bordeaux,Bleu,97
Toulouse,Bleu,99
Toulouse,Vert,26
Paris,Bleu,72
Lyon,Marron,43
Marseille,Marron,63
Toulouse,Bleu,92
Montpellier,Orange,92
Lille,Marron,99
Bordeaux,Orange,91
Marseille,Orange,45
Marseille,Vert,30
Toulouse,Bleu,24
Lille,Bleu,92
Strasbourg,Vert,94
Lyon,Vert,64
Lille,Rouge,20
Strasbourg,Bleu,18
Marseille,Bleu,42
Nice,Vert,29
Avignon,Vert,90
Avignon,Rouge,75
Strasbourg,Marron,63
Strasbourg,Orange,80
Lyon,Rouge,37
Paris,Rouge,28
Avignon,Jaune,87
Toulouse,Jaune,83
Paris,Rouge,18
Strasbourg,Orange,58
Lyon,Rouge,84
Bordeaux,Rouge,60
Lille,Rouge,11
Paris,Marron,42
Lyon,Marron,36
Lyon,Vert,39
Lyon,Orange,62
Lyon,Marron,30
Toulouse,Vert,94
Lyon,Marron,46
Marseille,Rouge,43
Lyon,Rouge,53
Nice,Orange,30
Paris,Jaune,46
Paris,Marron,52
Strasbourg,Vert,32
Nice,Vert,61
Nice,Marron,53
Lille,Jaune,19
Toulouse,Vert,96
Marseille,Bleu,12
Strasbourg,Bleu,22
Bordeaux,Bleu,45
Lille,Marron,22
Strasbourg,Orange,12
Bordeaux,Marron,56
Paris,Rouge,33
Avignon,Vert,34
Avignon,Marron,24
Strasbourg,Orange,84
Nice,Marron,95
Toulouse,Jaune,76
Toulouse,Orange,34
Lyon,Marron,22
Strasbourg,Rouge,55
Nice,Vert,98
Lille,Orange,26
Nice,Marron,68
Montpellier,Rouge,11
Nice,Marron,82
Bordeaux,Orange,24
Paris,Orange,54
Strasbourg,Bleu,58
Avignon,Orange,61
Lyon,Jaune,56
Nice,Jaune,43
Montpellier,Rouge,48
Nice,Orange,50
Montpellier,Vert,59
Lille,Jaune,42
Bordeaux,Rouge,26
Montpellier,Marron,34
Avignon,Bleu,24
Lyon,Bleu,28
Paris,Orange,50
Montpellier,Orange,25
Paris,Orange,11
Strasbourg,Marron,51
Lille,Marron,65
Strasbourg,Vert,58
Montpellier,Rouge,89
Strasbourg,Jaune,60
Lille,Marron,82
Strasbourg,Jaune,82
Lyon,Rouge,92
Nice,Bleu,54
Paris,Rouge,100
Montpellier,Jaune,29
Lille,Marron,61
Toulouse,Bleu,69
Montpellier,Vert,70
Nice,Bleu,61
Lyon,Jaune,26
Nice,Rouge,27
Paris,Marron,21
Lille,Orange,47
Lille,Jaune,19
Montpellier,Vert,36
Bordeaux,Rouge,97
Lyon,Orange,76
Lyon,Vert,98
Montpellier,Orange,26
Avignon,Bleu,65
Lyon,Jaune,39
Lyon,Marron,23
Avignon,Vert,84
Toulouse,Jaune,36
Paris,Orange,28
Lyon,Marron,63
Strasbourg,Jaune,85
Nice,Vert,25
Strasbourg,Vert,45
Nice,Vert,80
Toulouse,Rouge,86
Bordeaux,Vert,75
Lyon,Bleu,45
Strasbourg,Orange,49
Strasbourg,Bleu,90
Avignon,Jaune,50
Toulouse,Vert,83
Toulouse,Vert,53
Strasbourg,Marron,50
Bordeaux,Orange,89
Toulouse,Orange,24
Bordeaux,Orange,13
Lyon,Marron,97
Marseille,Jaune,39
Lyon,Jaune,74
Bordeaux,Bleu,46
Montpellier,Jaune,42
Lyon,Marron,27
Lille,Orange,40
Toulouse,Vert,53
Marseille,Rouge,20
Strasbourg,Rouge,17
Strasbourg,Jaune,22
Lyon,Jaune,26
Marseille,Marron,96
Lille,Marron,53
Lyon,Orange,74
Montpellier,Rouge,71
Montpellier,Jaune,33
Toulouse,Vert,28
Nice,Orange,65
Toulouse,Orange,22
Paris,Marron,94
Toulouse,Marron,72
Paris,Bleu,42
Nice,Marron,46
Nice,Vert,62
Lille,Marron,53
Nice,Vert,81
Avignon,Jaune,85
Bordeaux,Orange,93
Bordeaux,Rouge,90
Lyon,Orange,20
Nice,Jaune,24
Nice,Vert,100
Lyon,Bleu,53
Montpellier,Vert,51
Strasbourg,Orange,66
Nice,Jaune,20
Paris,Marron,97
Avignon,Rouge,52
Bordeaux,Orange,30
Lyon,Orange,43
Bordeaux,Jaune,18
Strasbourg,Rouge,23
Strasbourg,Bleu,51
Lille,Orange,49
Bordeaux,Jaune,28
Toulouse,Bleu,51
Paris,Bleu,69
Lille,Bleu,65
Lyon,Rouge,28
Marseille,Bleu,84
Lille,Orange,85
Toulouse,Jaune,29
Toulouse,Rouge,28
Strasbourg,Jaune,84
Marseille,Vert,32
Avignon,Rouge,80
Montpellier,Jaune,59
Nice,Jaune,30
Strasbourg,Rouge,20
Montpellier,Vert,89
Montpellier,Orange,46
Marseille,Jaune,99
Marseille,Jaune,10
Lille,Jaune,92
Bordeaux,Bleu,67
Lyon,Jaune,76
Bordeaux,Jaune,36
Marseille,Rouge,58
Bordeaux,Rouge,27
Avignon,Orange,55
Paris,Vert,45
Montpellier,Rouge,74
Strasbourg,Bleu,62
Avignon,Jaune,60
Nice,Jaune,96
Marseille,Vert,35
Montpellier,Rouge,25
Lille,Vert,29
Lille,Vert,63
Paris,Jaune,45
Strasbourg,Rouge,64
Paris,Bleu,31
Nice,Vert,90
Strasbourg,Bleu,93
Montpellier,Bleu,75
Toulouse,Jaune,73
Lyon,Jaune,30
Bordeaux,Orange,14
Avignon,Rouge,88
Strasbourg,Bleu,98
Strasbourg,Bleu,23
Paris,Marron,87
Lyon,Vert,54
Lille,Marron,95
Bordeaux,Jaune,91
Nice,Vert,36
Lille,Jaune,23
Strasbourg,Orange,20
Montpellier,Jaune,73
Lyon,Bleu,18
Paris,Jaune,75
Marseille,Orange,52
Montpellier,Orange,75
Lille,Vert,80
Paris,Jaune,12
Marseille,Orange,53
Toulouse,Rouge,91
Avignon,Bleu,53
Montpellier,Jaune,18
Lille,Vert,68
Lyon,Vert,27
Lyon,Jaune,38
Toulouse,Bleu,98
Bordeaux,Orange,16
Avignon,Orange,52
Nice,Vert,77
Marseille,Marron,97
Lyon,Marron,54
Paris,Marron,58
Toulouse,Marron,13
Montpellier,Jaune,29
Lille,Bleu,91
Paris,Jaune,93
Montpellier,Rouge,81
Lyon,Jaune,51
Nice,Marron,77
Marseille,Marron,22
Lille,Orange,79
Nice,Orange,28
Nice,Rouge,83
Montpellier,Rouge,71
Lille,Jaune,30
Paris,Jaune,57
Montpellier,Orange,85
Lille,Marron,100
Montpellier,Rouge,73
Nice,Jaune,30
Montpellier,Bleu,78
Paris,Marron,19
Avignon,Bleu,43
Montpellier,Rouge,49
Lyon,Rouge,53
Avignon,Bleu,68
Paris,Marron,61
Strasbourg,Vert,96
Marseille,Vert,45
Lyon,Bleu,78
Nice,Jaune,18
Lille,Vert,57
Lyon,Bleu,20
Strasbourg,Orange,72
Paris,Marron,34
Lyon,Orange,57
Paris,Vert,81
Nice,Jaune,84
Paris,Jaune,47
Nice,Rouge,41
Toulouse,Jaune,78
Paris,Rouge,47
Bordeaux,Orange,77
Lille,Marron,10
Lille,Bleu,18
Avignon,Bleu,87
Avignon,Orange,36
Paris,Jaune,79
Toulouse,Rouge,70
Paris,Bleu,86
Lille,Vert,92
Bordeaux,Bleu,35
Strasbourg,Rouge,22
Lyon,Marron,26
Avignon,Marron,28
Marseille,Orange,14
Paris,Orange,33
Avignon,Orange,14
Montpellier,Marron,24
Montpellier,Vert,23
Lyon,Jaune,18
Bordeaux,Rouge,20
Avignon,Rouge,22
Marseille,Orange,94
Strasbourg,Vert,86
Strasbourg,Bleu,71
Strasbourg,Bleu,50
Toulouse,Jaune,61
Marseille,Jaune,97
Bordeaux,Rouge,16
Nice,Orange,94
Marseille,Jaune,36
Strasbourg,Orange,82
Strasbourg,Jaune,95
Lille,Orange,28
Bordeaux,Orange,60
Marseille,Marron,92
Paris,Marron,55
Toulouse,Orange,46
Avignon,Jaune,69
Avignon,Vert,55
Toulouse,Rouge,100
Lille,Marron,37
Bordeaux,Orange,15
Bordeaux,Jaune,40
Bordeaux,Rouge,85
Montpellier,Rouge,70
Marseille,Bleu,69
Lille,Jaune,87
Nice,Vert,37
Nice,Vert,27
Lyon,Vert,56
Lyon,Jaune,42
Toulouse,Vert,76
Marseille,Vert,86
Lille,Rouge,94
Paris,Marron,30
Nice,Rouge,68
Lille,Bleu,98
Strasbourg,Rouge,96
Paris,Marron,18
Strasbourg,Rouge,11
Toulouse,Orange,30
Lille,Marron,44
Lille,Jaune,12
Paris,Bleu,96
Marseille,Jaune,100
Paris,Rouge,59
Toulouse,Orange,22
Avignon,Rouge,74
Strasbourg,Bleu,25
Montpellier,Orange,52
Montpellier,Marron,17
Paris,Jaune,25
Bordeaux,Marron,43
Bordeaux,Bleu,14
Montpellier,Marron,60
Bordeaux,Rouge,63
Bordeaux,Bleu,90
Paris,Vert,20
Montpellier,Orange,94
Marseille,Vert,97
Toulouse,Orange,13
Toulouse,Bleu,85
Marseille,Orange,49
Strasbourg,Marron,80
Bordeaux,Vert,19
Nice,Vert,24
Avignon,Orange,27
Bordeaux,Orange,72
Lyon,Orange,12
Avignon,Vert,79
Avignon,Vert,59
Marseille,Marron,55
Montpellier,Marron,30
Toulouse,Vert,10
Lyon,Bleu,36
Nice,Jaune,72
Marseille,Jaune,85
Lyon,Bleu,96
Montpellier,Vert,97
Bordeaux,Bleu,57
Marseille,Orange,75
Marseille,Jaune,82
Marseille,Marron,38
Marseille,Marron,98
Nice,Jaune,85
Nice,Bleu,90
Strasbourg,Bleu,99
Nice,Vert,47
Toulouse,Rouge,62
Lyon,Jaune,65
Nice,Vert,21
Bordeaux,Marron,90
Toulouse,Rouge,98
Avignon,Marron,83
Toulouse,Bleu,67
Paris,Bleu,66
Lille,Jaune,41
Avignon,Bleu,42
Lille,Vert,83
Nice,Jaune,22
Paris,Jaune,87
Toulouse,Bleu,22
Toulouse,Jaune,37
Paris,Marron,59
Strasbourg,Jaune,38
Lyon,Jaune,50
Bordeaux,Jaune,95
Toulouse,Orange,15
Lille,Jaune,33
Montpellier,Marron,76
Toulouse,Rouge,80
Montpellier,Bleu,52
Marseille,Rouge,75
Lille,Marron,27
Nice,Jaune,98
Lyon,Jaune,47
Lyon,Bleu,73
Marseille,Vert,29
Lyon,Bleu,41
Toulouse,Vert,16
Bordeaux,Rouge,96
Strasbourg,Bleu,80
Montpellier,Marron,18
Montpellier,Marron,83
Paris,Rouge,29
Strasbourg,Marron,77
Toulouse,Rouge,14
Avignon,Rouge,53
Marseille,Rouge,17
Montpellier,Orange,98
Nice,Rouge,96
Bordeaux,Rouge,82
Paris,Bleu,36
Toulouse,Bleu,92
Nice,Vert,47
Bordeaux,Jaune,64
Nice,Rouge,26
Bordeaux,Orange,66
Montpellier,Vert,98
Montpellier,Vert,51
Marseille,Vert,33
Paris,Bleu,85
Bordeaux,Marron,35
Marseille,Vert,31
Lyon,Vert,20
Montpellier,Orange,10
Nice,Rouge,76
Lille,Rouge,66
Avignon,Jaune,51
Lille,Orange,43
Strasbourg,Jaune,70
Marseille,Jaune,67
Montpellier,Marron,36
Lyon,Jaune,84
Marseille,Jaune,16
Toulouse,Marron,61
Avignon,Marron,53
Lyon,Vert,83
Paris,Rouge,83
Lyon,Marron,32
Bordeaux,Jaune,90
Nice,Rouge,95
Montpellier,Bleu,99
Lille,Vert,96
Avignon,Vert,69
Montpellier,Orange,76
Marseille,Rouge,58
Toulouse,Vert,78
Lille,Vert,36
Lille,Bleu,91
Bordeaux,Jaune,25
Avignon,Rouge,93
Bordeaux,Rouge,22
Lille,Orange,95
Bordeaux,Orange,17
Toulouse,Bleu,100
Lyon,Rouge,74
Marseille,Orange,22
Strasbourg,Vert,12
Montpellier,Rouge,94
Montpellier,Vert,17
Marseille,Vert,46
Lille,Orange,41
Paris,Rouge,89
Avignon,Orange,26
Lyon,Rouge,73
Lille,Jaune,37
Lille,Jaune,14
Montpellier,Vert,61
Lyon,Bleu,69
Montpellier,Rouge,42
Avignon,Rouge,91
Lille,Jaune,82
Nice,Bleu,67
Toulouse,Vert,24
Lyon,Marron,11
Lyon,Rouge,51
Nice,Rouge,57
Lyon,Rouge,42
Avignon,Vert,10
Marseille,Jaune,93
Lyon,Bleu,35
Lyon,Marron,51
Marseille,Jaune,59
Marseille,Rouge,29
Lille,Vert,31
Avignon,Vert,61
Strasbourg,Bleu,49
Strasbourg,Jaune,74
Avignon,Rouge,54
Nice,Orange,40
Montpellier,Marron,13
Avignon,Orange,59
Lille,Marron,39
Montpellier,Vert,65
Nice,Rouge,83
Marseille,Marron,81
Strasbourg,Orange,93
Nice,Bleu,55
Lyon,Jaune,91
Marseille,Rouge,53
Bordeaux,Rouge,82
Toulouse,Vert,35
Lille,Rouge,84
Bordeaux,Marron,73
Bordeaux,Marron,85
Avignon,Rouge,33
Strasbourg,Jaune,11
Toulouse,Rouge,90
Avignon,Vert,94
Avignon,Jaune,17
Bordeaux,Marron,82
Montpellier,Jaune,32
Lille,Marron,34
Paris,Orange,35
Bordeaux,Jaune,40
Avignon,Rouge,57
Paris,Vert,83
Nice,Marron,56
Nice,Orange,96
Avignon,Marron,59
Avignon,Marron,72
Lille,Bleu,55
Nice,Orange,77
Strasbourg,Bleu,81
Paris,Bleu,81
Strasbourg,Marron,19
Paris,Bleu,88
Paris,Orange,63
Paris,Vert,54
Bordeaux,Jaune,78
Bordeaux,Orange,99
Paris,Jaune,63
Toulouse,Jaune,20
Paris,Rouge,78
Strasbourg,Vert,20
Lille,Vert,94
Avignon,Vert,76
Lille,Marron,42
Montpellier,Bleu,69
Lyon,Vert,60
Strasbourg,Vert,76
Toulouse,Bleu,40
Lyon,Vert,69
Bordeaux,Bleu,76
Lyon,Marron,49
Marseille,Orange,88
Paris,Jaune,13
Strasbourg,Jaune,38
Montpellier,Bleu,84
Lille,Marron,56
Toulouse,Jaune,73
Bordeaux,Vert,13
Paris,Bleu,17
Bordeaux,Rouge,88
Lyon,Vert,82
Bordeaux,Rouge,41
Avignon,Orange,92
Lyon,Marron,61
Strasbourg,Vert,70
Nice,Rouge,92
Avignon,Vert,91
Strasbourg,Bleu,17
Strasbourg,Rouge,61
Lyon,Orange,62
Avignon,Bleu,77
Lille,Orange,38
Marseille,Rouge,60
Bordeaux,Bleu,59
Nice,Marron,16
Paris,Bleu,28
Marseille,Orange,72
Lyon,Jaune,26
Bordeaux,Vert,85
Nice,Jaune,43
Paris,Jaune,28
Lyon,Rouge,89
Nice,Bleu,62
Toulouse,Marron,23
Strasbourg,Orange,85
Montpellier,Rouge,95
Nice,Rouge,97
Bordeaux,Rouge,58
Lyon,Marron,42
Lille,Orange,54
Lyon,Marron,35
Avignon,Bleu,35
Bordeaux,Bleu,31
Toulouse,Rouge,83
Lyon,Rouge,53
Marseille,Marron,42
Nice,Marron,86
Nice,Vert,36
Montpellier,Rouge,34
Strasbourg,Orange,17
Avignon,Bleu,80
Nice,Jaune,32
Paris,Orange,81
Bordeaux,Marron,13
Nice,Jaune,25
Montpellier,Vert,17
Lille,Jaune,83
Toulouse,Jaune,56
Paris,Vert,74
Montpellier,Jaune,63
Marseille,Jaune,21
Bordeaux,Bleu,16
Montpellier,Jaune,27
Strasbourg,Bleu,70
Montpellier,Marron,51
Lille,Bleu,55
Marseille,Orange,40
Toulouse,Marron,96
Nice,Bleu,40
Bordeaux,Vert,86
Marseille,Jaune,91
Strasbourg,Jaune,79
Strasbourg,Jaune,76
Avignon,Marron,55
Marseille,Vert,63
Nice,Jaune,13
Strasbourg,Orange,80
Marseille,Jaune,74
Marseille,Bleu,56
Avignon,Jaune,38
Montpellier,Rouge,32
Toulouse,Vert,60
Avignon,Bleu,94
Paris,Rouge,84
Montpellier,Marron,76
Lille,Rouge,100
Lyon,Vert,26
Lille,Rouge,16
Lille,Vert,10
Avignon,Orange,90
Toulouse,Bleu,45
Paris,Marron,90
Bordeaux,Marron,11
Lyon,Orange,39
Bordeaux,Vert,74
Nice,Vert,73
Avignon,Bleu,76
Montpellier,Bleu,26
Strasbourg,Bleu,65
Paris,Jaune,34
Paris,Rouge,14
Marseille,Orange,99
Montpellier,Vert,96
Bordeaux,Orange,44
Lille,Orange,16
Toulouse,Vert,59
Marseille,Marron,45
Paris,Bleu,76
Montpellier,Jaune,39
Lille,Jaune,45
Nice,Vert,59
Montpellier,Orange,72
Montpellier,Orange,53
Montpellier,Vert,17
Avignon,Orange,98
Avignon,Bleu,49
Montpellier,Rouge,56
Avignon,Orange,22
Marseille,Bleu,15
Nice,Marron,12
Lille,Rouge,29
Toulouse,Orange,17
Nice,Jaune,34
Marseille,Jaune,60
Nice,Marron,73
Bordeaux,Marron,84
Nice,Vert,31
Lyon,Jaune,91
Bordeaux,Jaune,18
Toulouse,Jaune,22
Paris,Orange,67
Paris,Orange,31
Strasbourg,Orange,54
Bordeaux,Vert,78
Lyon,Rouge,69
Avignon,Orange,86
Bordeaux,Bleu,65
Paris,Jaune,63
Lyon,Vert,27
Nice,Jaune,38
Toulouse,Rouge,23
Lyon,Jaune,30
Montpellier,Jaune,60
Avignon,Marron,71
Toulouse,Orange,97
Marseille,Bleu,39
Marseille,Rouge,56
Strasbourg,Bleu,42
Lille,Marron,11
Montpellier,Vert,42
Montpellier,Jaune,84
Montpellier,Orange,41
Toulouse,Jaune,56
Lyon,Bleu,71
Toulouse,Vert,81
Paris,Jaune,29
Lille,Vert,54
Nice,Marron,42
Lille,Marron,79
Lille,Bleu,28
Strasbourg,Bleu,38
Lyon,Jaune,47
Montpellier,Vert,84
Toulouse,Marron,65
Toulouse,Marron,38
Lyon,Vert,40
Marseille,Bleu,19
Lille,Bleu,80
Bordeaux,Orange,66
Paris,Orange,43
Paris,Bleu,23
Lyon,Marron,84
Avignon,Orange,61
Paris,Rouge,13
Avignon,Orange,68
Nice,Rouge,54
Bordeaux,Marron,44
Strasbourg,Marron,100
Lyon,Orange,18
Paris,Marron,12
Lille,Rouge,70
Strasbourg,Bleu,45
Bordeaux,Rouge,15
Avignon,Jaune,28
Bordeaux,Vert,37
Avignon,Orange,35
Marseille,Orange,60
